recipe_name,prep_time,cook_time,total_time,ingredients_list,direction_list,calories,grams_of_fat,grams_of_carbs,grams_of_protein
Air Fryer Cherry Cream Cheese Croissants,10 mins,5 mins,15 mins,"flour for dusting,refrigerated crescent roll dough (such as Pillsbury®,cream cheese,pitted sour cherries, drained,cooking spray,ground cinnamon to taste"," Lightly dust a work surface with flour. Unroll crescent dough and divide into triangles along the perforated lines.
, Spread each triangle with cream cheese.
, Drop 3 or 4 cherries on the wider portion of each crescent dough triangle. Carefully roll up each crescent, making sure the cherries stay tucked in. Fold down the ends of each roll slightly so it forms a crescent shape.
, Spray the basket of the air fryer with non stick cooking spray spray. Carefully set the croissants into the basket.
, Set air fryer to 400 degrees F (200 degrees C).
, Air fry croissants until puffed up and lightly browned, about 5 minutes. Check to make sure croissants are not sticking to each other and that they are not overly browned. Continue cooking for 2 to 3 minutes longer, making sure they do not get too done.
, Transfer croissants to a plate and sprinkle with cinnamon.
",227,16g ,16g ,5g 
Gluten-Free Zucchini Bread (or Muffins),20 mins,50 mins, 1 hr 10 mins,"gluten-free flour,ground cinnamon,salt,baking soda,baking powder,ground nutmeg (Optional),white sugar,applesauce,eggs,vegetable oil,vanilla extract,shredded zucchini"," Preheat oven to 325 degrees F (165 degrees C). Grease two 9x5-inch loaf pans.
, Mix flour, cinnamon, salt, baking soda, baking powder, and nutmeg together in a bowl. Beat sugar, applesauce, eggs, oil, and vanilla extract together in a separate bowl; stir in zucchini. Slowly mix flour mixture into zucchini mixture until well blended; pour into prepared loaf pans.
, Bake in the preheated oven until a toothpick inserted in the center comes out clean, about 50 minutes.
",561,17g ,99g ,8g 
"Zucchini Bread, Pumpkin Style",15 mins,50 mins,10 mins,"zucchini, cut into chunks,all-purpose flour,baking powder,baking soda,salt,ground cinnamon,ground nutmeg,ground cloves,vegetable oil,eggs,white sugar"," Preheat an oven to 350 degrees F (175 degrees C). Grease and flour 3 9x5 inch loaf pans, and set aside.
, Place the zucchini chunks into a saucepan, and cover with water. Bring to a boil and cook until the zucchini are tender, about 5 minutes. Drain the zucchini, place them in a blender, and blend until they are pureed, about 2 minutes. Let the zucchini puree cool for about 10 minutes.
, Mix the flour, baking powder, baking soda, salt, cinnamon, nutmeg, and cloves in a bowl, and stir to eliminate lumps.
, Place the zucchini puree in a large bowl, and whisk in the oil, eggs, and sugar. Beat in the flour mixture to form a thick batter.
, Divide the batter evenly among the prepared loaf pans, and bake in the preheated oven until the tops are lightly browned and the loaves spring back when gently pressed, 45 minutes to 1 hour. A toothpick inserted into the center should come out clean. Cool in the pans for 10 minutes before removing to cool completely on a wire rack.
",242,10g ,36g ,3g 
Healthier Mom's Zucchini Bread,20 mins, 1 hr, 1 hr,"all-purpose flour,white whole wheat flour,salt,baking soda,baking powder,ground cinnamon,eggs,low-fat milk,vegetable oil,white sugar,vanilla extract,grated zucchini,chopped walnuts"," Preheat oven to 325 degrees F (165 degrees C). Grease and flour two 8x4-inch pans.
, Sift all-purpose flour, whole-wheat flour, salt, baking soda, baking powder, and cinnamon into a bowl.
, Beat eggs, milk, vegetable oil, sugar, and vanilla extract together in a large bowl. Add sifted ingredients and beat well. Stir in zucchini and walnuts until well combined. Pour batter into prepared pans.
, Bake in preheated oven until toothpick inserted in center of bread comes out clean, 40 to 60 minutes. Cool in pans on a wire rack for 20 minutes. Remove bread from pan and cool completely.
",190,9g ,26g ,4g 
Zucchini-Raspberry Bread,20 mins,50 mins,10 mins,"self-rising flour,ground cinnamon,ground nutmeg,white sugar,shredded unpeeled zucchini,vegetable oil,egg,grated lemon zest,fresh raspberries,chopped walnuts"," Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x5-inch loaf pan.,
, Combine flour, cinnamon, and nutmeg in a large bowl. Combine sugar, zucchini, vegetable oil, egg, and lemon zest in a separate bowl; stir into flour mixture. Gently fold in raspberries and walnuts; pour into the prepared loaf pan.
, Bake in the preheated oven until golden brown, 30 to 35 minutes, then cover with aluminum foil. Continue baking until a toothpick inserted into the center comes out clean, about 20 minutes. Cool in pan for 10 minutes before removing to a wire rack to cool completely.
",205,8g ,31g ,3g 
Vegan Zucchini Banana Bread,20 mins, 1 hr,20 mins,"all-purpose flour,salt,baking soda,baking powder,ground cinnamon,ripe bananas,applesauce,vegetable oil,brown sugar,white sugar,vanilla extract,lemon juice,grated zucchini"," Preheat the oven to 325 degrees F (165 degrees C). Grease two 8x4-inch loaf pans.
, Sift flour, salt, baking soda, baking powder, and cinnamon together in a large bowl.
, Beat bananas, applesauce, vegetable oil, brown sugar, white sugar, vanilla extract, and lemon juice together in a separate large bowl. Beat flour mixture into banana mixture; add zucchini and mix until combined. Pour mixture into the prepared loaf pans.
, Bake in the preheated oven until a toothpick inserted into the center comes out clean, 60 to 90 minutes. Cool in the pans for 20 minutes before removing to cool completely on a wire rack.
",350,10g ,63g ,4g 
Whole Wheat Zucchini Herb Bread,5 mins, 3 hrs, 3 hrs 5 mins,"water,honey,vegetable oil,grated zucchini,whole wheat flour,bread flour,chopped fresh basil,sesame seeds,salt,active dry yeast"," Place ingredients in the pan of the bread machine in the order suggested by the manufacturer. Set for Basic Bread cycle, or Normal setting.
",153,2g ,28g ,5g 
Zucchini Bread with Pineapple ,20 mins, 1 hr, 1 hr 20 mins,"all-purpose flour,baking soda,ground cinnamon,salt,baking powder,white sugar,vegetable oil,eggs,vanilla extract,shredded zucchini,crushed pineapple, well drained,raisins,chopped walnuts"," Preheat the oven to 325 degrees F (165 degrees C). Line the bottoms of two 9x5-inch loaf pans with parchment paper.
, Mix together flour, baking soda, cinnamon, salt, and baking powder in a medium bowl; set aside.,
, Beat together sugar, oil, eggs, and vanilla in a large bowl until well combined. Stir in zucchini and pineapple. Gradually pour in flour mixture, mixing until just combined. Fold in raisins and nuts until incorporated. Divide batter evenly between the prepared loaf pans.
, Bake in the preheated oven until a toothpick inserted into the center of each loaf comes out clean, about 1 hour. Working with one loaf at a time, hold the pan on its side and gently tap the sides of the pan against the counter to loosen it. Cover the pan with a cooling rack; invert it to tip loaf out of the pan and onto the rack. Peel off the parchment paper, invert loaf onto the rack, and allow it to cool completely.
",362,18g ,49g ,5g 
Lemon Zucchini Muffins,15 mins,25 mins, 1 hr,"all-purpose flour,white sugar,baking powder,baking soda,salt,zucchini, shredded,lemon yogurt,butter, melted,egg, beaten,lemon juice,lemon zest,lemon juice,white sugar,lemon zest"," Preheat oven to 400 degrees F (200 degrees C). Grease 12 muffin cups, or line with paper muffin liners.
, Mix flour, 3/4 cup sugar, baking powder, baking soda, and salt in a large bowl; make a well in the center of the flour mixture. Mix zucchini, yogurt, butter, egg, 1 tablespoon lemon juice, and 1 tablespoon lemon zest in a separate bowl; pour yogurt mixture into well. Gently stir yogurt, slowly incorporating the flour mixture until just blended. Batter may be slightly lumpy. Pour batter evenly into prepared muffin cups.
, Bake in preheated oven until a toothpick inserted into the center of a cupcake comes out clean, about 20 minutes.
, While muffins are baking, whisk 1/3 cup lemon juice, 1/4 cup sugar, and 2 teaspoons lemon zest together in a saucepan over medium heat until mixture comes to a simmer and sugar is dissolved, about 5 minutes. Cover and keep glaze warm over low heat.
, Poke each muffin several times with a toothpick; spoon glaze over muffins. Cool in the pans for 10 minutes before removing to cool completely on a wire rack.
",210,6g ,35g ,4g 
Grandma's Chocolate Zucchini Bread,15 mins,40 mins,55 mins,"all-purpose flour,cocoa powder,salt,baking soda,ground cinnamon,baking powder,white sugar,butter, softened,vegetable oil,vanilla extract,eggs,semisweet chocolate chips,grated unpeeled zucchini,chopped walnuts (Optional)"," Preheat the oven to 350 degrees F (175 degrees C). Grease and flour two loaf pans.
, Combine flour, cocoa, salt, baking soda, cinnamon, and baking powder in a medium bowl and mix together. Set aside.
, Cream sugar, butter, oil, and vanilla extract together in a large bowl with an electric mixer until smooth. Add eggs, one at a time, until mixed. Mix the dry ingredients slowly into the sugar mixture on medium speed until incorporated. Gently add chocolate chips, zucchini, and walnuts with a spoon. Pour batter equally into the prepared loaf pans.
, Bake in the preheated oven until a toothpick inserted into each loaf comes out clean, 40 to 50 minutes. Don't overcook.
",291,17g ,35g ,4g 
